time,station,AMB_TEMP,CO,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2015/04/17 15:00,Cailiao,24.0,0.44,1.8,20.0,22.0,34.0,70.0,35.0,0.0,80.0,2.6,309.0,332.0,2.3,1.0
2015/04/17 16:00,Cailiao,24.0,0.68,2.7,30.0,33.0,30.0,94.0,43.0,0.0,80.0,2.9,289.0,284.0,2.4,1.6
2015/04/17 17:00,Cailiao,23.0,0.61,1.5,25.0,27.0,33.0,98.0,50.0,0.0,81.0,3.1,333.0,291.0,0.9,0.5
2015/04/17 18:00,Cailiao,23.0,1.1,0.9,41.0,42.0,22.0,98.0,54.0,0.0,81.0,4.4,323.0,277.0,1.2,0.6
2015/04/17 19:00,Cailiao,23.0,1.08,1.5,39.0,41.0,19.0,104.0,60.0,0.0,81.0,4.5,307.0,285.0,1.6,0.9
2015/04/17 20:00,Cailiao,23.0,0.88,0.8,31.0,31.0,22.0,105.0,64.0,0.0,84.0,2.6,307.0,285.0,1.1,0.7
2015/04/17 21:00,Cailiao,23.0,1.16,1.6,40.0,42.0,12.0,105.0,65.0,0.0,85.0,2.3,303.0,295.0,1.1,0.8
2015/04/17 22:00,Cailiao,23.0,1.61,13.0,52.0,65.0,2.2,110.0,66.0,0.0,84.0,3.3,306.0,291.0,1.4,0.7
2015/04/17 23:00,Cailiao,23.0,1.32,15.0,48.0,63.0,1.7,106.0,63.0,0.0,84.0,5.9,259.0,273.0,0.9,0.5
2015/04/18 00:00,Cailiao,23.0,1.47,27.0,50.0,77.0,1.2,99.0,58.0,0.0,83.0,5.8,323.0,355.0,0.5,0.4
2015/04/18 01:00,Cailiao,23.0,1.42,32.0,43.0,75.0,1.3,100.0,55.0,0.0,84.0,4.3,306.0,30.0,0.5,0.6
2015/04/18 02:00,Cailiao,23.0,1.54,34.0,44.0,78.0,1.1,99.0,50.0,0.0,84.0,4.4,351.0,359.0,0.5,0.4
2015/04/18 03:00,Cailiao,23.0,1.64,47.0,43.0,91.0,1.1,95.0,48.0,0.0,84.0,4.5,15.0,261.0,0.6,0.2
2015/04/18 04:00,Cailiao,23.0,1.69,50.0,42.0,91.0,1.4,95.0,54.0,0.0,84.0,5.1,283.0,295.0,0.7,0.8
2015/04/18 05:00,Cailiao,23.0,1.63,42.0,41.0,82.0,1.3,98.0,58.0,0.0,85.0,5.4,328.0,285.0,0.5,0.1
2015/04/18 06:00,Cailiao,23.0,1.15,23.0,26.0,50.0,1.9,78.0,47.0,0.0,83.0,2.6,196.0,184.0,1.2,0.4
2015/04/18 07:00,Cailiao,23.0,1.16,19.0,25.0,44.0,4.8,54.0,33.0,0.0,80.0,1.9,150.0,136.0,1.5,0.9
2015/04/18 08:00,Cailiao,25.0,1.35,20.0,35.0,54.0,9.9,51.0,35.0,0.0,76.0,2.1,172.0,152.0,1.5,0.3
2015/04/18 09:00,Cailiao,27.0,1.59,12.0,46.0,57.0,25.0,60.0,41.0,0.0,68.0,1.9,140.0,225.0,1.2,0.5
2015/04/18 10:00,Cailiao,29.0,1.11,6.9,41.0,48.0,42.0,67.0,46.0,0.0,59.0,1.9,83.0,77.0,1.3,0.7
2015/04/18 11:00,Cailiao,30.0,0.43,2.9,15.0,17.0,50.0,61.0,39.0,0.0,52.0,2.5,74.0,81.0,1.1,1.2
2015/04/18 12:00,Cailiao,30.0,0.47,1.7,13.0,15.0,70.0,64.0,36.0,0.0,57.0,3.0,9.3,37.0,3.0,0.4
2015/04/18 13:00,Cailiao,29.0,0.49,1.9,18.0,20.0,66.0,71.0,41.0,0.0,62.0,4.3,314.0,287.0,3.5,0.8
2015/04/18 14:00,Cailiao,28.0,0.48,2.1,22.0,24.0,49.0,75.0,46.0,0.0,71.0,5.8,311.0,323.0,1.4,0.9
2015/04/18 15:00,Cailiao,27.0,0.43,2.7,22.0,25.0,29.0,72.0,41.0,0.0,73.0,4.3,310.0,355.0,1.6,1.0
2015/04/18 16:00,Cailiao,28.0,0.49,3.0,23.0,25.0,19.0,57.0,31.0,0.6,73.0,2.9,282.0,283.0,2.5,1.6
2015/04/18 17:00,Cailiao,26.0,0.74,4.5,29.0,33.0,10.0,50.0,32.0,1.6,85.0,2.1,191.0,179.0,1.0,1.0
2015/04/18 18:00,Cailiao,25.0,0.94,5.9,35.0,41.0,5.4,50.0,31.0,0.2,88.0,2.4,300.0,295.0,2.2,0.7
2015/04/18 19:00,Cailiao,25.0,0.51,1.8,22.0,24.0,14.0,49.0,35.0,0.0,85.0,3.0,290.0,282.0,1.8,1.4
2015/04/18 20:00,Cailiao,25.0,0.54,2.9,25.0,28.0,11.0,44.0,36.0,0.6,85.0,2.4,288.0,289.0,1.5,1.5
2015/04/18 21:00,Cailiao,25.0,0.5,3.8,24.0,28.0,9.3,38.0,28.0,0.4,87.0,1.8,295.0,295.0,2.6,2.1
2015/04/18 22:00,Cailiao,25.0,0.41,1.9,19.0,21.0,9.8,34.0,24.0,0.0,86.0,1.9,313.0,306.0,1.7,1.0
2015/04/18 23:00,Cailiao,26.0,0.34,3.5,18.0,21.0,5.0,27.0,19.0,0.0,85.0,1.5,292.0,288.0,2.0,1.8
2015/04/19 00:00,Cailiao,26.0,0.45,7.4,19.0,26.0,2.2,32.0,16.0,0.0,84.0,2.6,23.0,102.0,1.0,0.3
2015/04/19 01:00,Cailiao,26.0,0.89,20.0,22.0,42.0,3.5,40.0,19.0,0.0,87.0,2.1,265.0,273.0,0.7,0.3
2015/04/19 02:00,Cailiao,26.0,0.46,12.0,19.0,31.0,2.0,35.0,17.0,0.0,85.0,2.2,273.0,279.0,3.1,2.1
2015/04/19 03:00,Cailiao,26.0,0.17,3.8,12.0,16.0,4.5,33.0,12.0,0.0,81.0,2.5,268.0,257.0,2.2,1.9
2015/04/19 04:00,Cailiao,26.0,0.22,3.3,11.0,15.0,4.3,28.0,9.0,0.0,80.0,2.9,255.0,233.0,2.2,1.6
2015/04/19 05:00,Cailiao,26.0,0.39,6.9,13.0,20.0,1.7,24.0,6.0,0.0,81.0,3.3,193.0,148.0,1.6,1.3
2015/04/19 06:00,Cailiao,26.0,0.55,15.0,13.0,27.0,1.6,29.0,9.0,0.0,81.0,2.7,172.0,177.0,1.0,0.9
2015/04/19 07:00,Cailiao,26.0,0.97,24.0,16.0,40.0,3.1,33.0,12.0,0.0,78.0,3.3,148.0,142.0,2.4,1.7
2015/04/19 08:00,Cailiao,27.0,0.79,17.0,16.0,33.0,9.5,35.0,14.0,0.0,72.0,2.5,60.0,339.0,1.5,1.0
2015/04/19 09:00,Cailiao,29.0,0.75,8.5,19.0,27.0,19.0,34.0,11.0,0.0,63.0,2.5,103.0,122.0,2.6,1.7
2015/04/19 10:00,Cailiao,30.0,0.94,8.9,26.0,35.0,24.0,40.0,13.0,0.0,60.0,2.4,125.0,104.0,2.4,2.2
2015/04/19 11:00,Cailiao,32.0,0.74,5.7,19.0,25.0,37.0,45.0,20.0,0.0,53.0,2.4,122.0,135.0,1.4,2.3
2015/04/19 12:00,Cailiao,32.0,0.63,3.4,20.0,23.0,41.0,55.0,19.0,0.0,53.0,3.4,80.0,283.0,2.2,0.8
2015/04/19 13:00,Cailiao,31.0,0.41,3.5,15.0,18.0,28.0,55.0,14.0,0.0,55.0,3.0,281.0,288.0,2.4,2.5
2015/04/19 14:00,Cailiao,29.0,0.53,3.5,20.0,24.0,21.0,49.0,12.0,0.0,64.0,3.2,31.0,15.0,2.0,1.1
2015/04/19 15:00,Cailiao,29.0,0.46,5.0,18.0,23.0,18.0,54.0,13.0,0.0,66.0,3.3,34.0,58.0,1.7,1.5
2015/04/19 16:00,Cailiao,28.0,0.65,4.8,24.0,29.0,15.0,54.0,12.0,3.0,67.0,2.9,132.0,126.0,2.6,1.5
2015/04/19 17:00,Cailiao,26.0,0.92,9.0,36.0,45.0,11.0,48.0,16.0,3.0,74.0,2.1,70.0,24.0,1.3,0.9
2015/04/19 18:00,Cailiao,26.0,1.39,20.0,48.0,68.0,2.9,46.0,21.0,2.2,76.0,2.2,356.0,21.0,1.3,0.6
2015/04/19 19:00,Cailiao,26.0,2.08,42.0,51.0,92.0,1.3,53.0,30.0,0.0,77.0,3.1,151.0,139.0,1.7,1.3
2015/04/19 20:00,Cailiao,25.0,1.55,29.0,41.0,71.0,1.7,48.0,30.0,0.0,80.0,3.0,143.0,169.0,1.1,0.9
2015/04/19 21:00,Cailiao,25.0,1.47,32.0,37.0,70.0,1.5,42.0,24.0,0.0,81.0,2.4,101.0,76.0,1.0,1.2
2015/04/19 22:00,Cailiao,25.0,1.75,40.0,35.0,75.0,1.0,43.0,23.0,0.0,81.0,2.5,113.0,122.0,1.3,1.0
2015/04/19 23:00,Cailiao,25.0,1.3,26.0,31.0,57.0,0.9,46.0,23.0,0.0,84.0,2.1,128.0,127.0,1.4,1.6
2015/04/20 00:00,Cailiao,24.0,0.96,9.6,28.0,38.0,1.3,49.0,23.0,0.0,85.0,0.9,118.0,96.0,1.1,0.8
