time,station,AMB_TEMP,CO,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2015/07/07 15:00,Wanhua,34.0,0.3,8.7,14.0,22.0,20.0,30.0,6.0,0.0,56.0,1.6,92.0,103.0,3.6,3.2
2015/07/07 16:00,Wanhua,34.0,0.28,7.0,11.0,18.0,20.0,31.0,10.0,0.0,58.0,1.7,103.0,109.0,3.9,3.6
2015/07/07 17:00,Wanhua,33.0,0.31,5.0,10.0,15.0,20.0,27.0,13.0,0.0,59.0,1.5,97.0,99.0,2.9,3.6
2015/07/07 18:00,Wanhua,32.0,0.37,5.3,12.0,18.0,17.0,28.0,15.0,0.0,63.0,1.6,99.0,97.0,3.8,3.5
2015/07/07 19:00,Wanhua,32.0,0.35,4.8,13.0,17.0,16.0,26.0,7.0,0.0,64.0,1.8,104.0,99.0,3.5,2.9
2015/07/07 20:00,Wanhua,32.0,0.34,5.6,13.0,19.0,15.0,25.0,6.0,0.0,62.0,1.6,104.0,114.0,3.0,3.2
2015/07/07 21:00,Wanhua,32.0,0.41,6.2,17.0,23.0,12.0,25.0,3.0,0.0,58.0,1.7,96.0,102.0,2.3,2.5
2015/07/07 22:00,Wanhua,33.0,0.36,4.7,14.0,18.0,13.0,18.0,7.0,0.0,53.0,1.7,97.0,97.0,2.9,2.0
2015/07/07 23:00,Wanhua,33.0,0.18,2.3,7.0,9.4,22.0,17.0,4.0,0.0,51.0,1.5,99.0,100.0,2.3,2.8
2015/07/08 00:00,Wanhua,32.0,0.14,1.4,4.0,5.5,26.0,14.0,4.0,0.0,55.0,1.8,106.0,103.0,2.8,2.5
2015/07/08 01:00,Wanhua,32.0,0.13,1.2,3.9,5.2,25.0,19.0,6.0,0.0,58.0,0.9,93.0,92.0,3.3,2.7
2015/07/08 02:00,Wanhua,32.0,0.11,1.3,2.9,4.2,26.0,20.0,6.0,0.0,60.0,0.8,95.0,88.0,2.8,2.4
2015/07/08 03:00,Wanhua,32.0,0.11,1.1,3.2,4.3,27.0,12.0,4.0,0.0,57.0,0.7,94.0,105.0,2.9,2.5
2015/07/08 04:00,Wanhua,31.0,0.13,0.9,2.3,3.2,28.0,8.0,0.0,0.0,59.0,0.9,98.0,94.0,2.1,2.2
2015/07/08 05:00,Wanhua,31.0,0.14,1.1,3.9,5.0,26.0,3.0,9.0,0.0,60.0,0.9,96.0,95.0,2.6,2.0
2015/07/08 06:00,Wanhua,32.0,0.19,3.2,8.9,12.0,23.0,10.0,5.0,0.0,56.0,1.0,96.0,93.0,3.2,2.5
2015/07/08 07:00,Wanhua,33.0,0.27,5.0,9.7,15.0,25.0,14.0,10.0,0.0,56.0,1.1,106.0,113.0,3.4,2.6
2015/07/08 08:00,Wanhua,34.0,0.38,6.9,13.0,19.0,27.0,16.0,4.0,0.0,51.0,1.0,102.0,100.0,4.1,3.3
2015/07/08 09:00,Wanhua,35.0,0.29,6.5,11.0,18.0,28.0,21.0,6.0,0.0,49.0,1.0,103.0,101.0,3.3,3.4
2015/07/08 10:00,Wanhua,35.0,0.28,5.9,11.0,17.0,31.0,27.0,8.0,0.0,48.0,1.1,102.0,100.0,5.1,3.2
2015/07/08 11:00,Wanhua,34.0,0.25,4.5,10.0,15.0,31.0,31.0,10.0,0.0,52.0,1.0,103.0,100.0,4.6,3.4
2015/07/08 12:00,Wanhua,34.0,0.26,4.5,10.0,15.0,31.0,27.0,15.0,0.0,52.0,1.0,100.0,103.0,4.4,4.0
2015/07/08 13:00,Wanhua,35.0,0.25,4.8,9.7,15.0,30.0,25.0,9.0,0.0,50.0,0.9,102.0,99.0,4.4,4.1
2015/07/08 14:00,Wanhua,34.0,0.27,5.7,11.0,17.0,25.0,25.0,5.0,0.0,53.0,1.0,102.0,108.0,4.4,4.2
2015/07/08 15:00,Wanhua,34.0,0.29,6.4,12.0,18.0,23.0,30.0,4.0,0.0,55.0,0.9,101.0,100.0,4.3,3.9
2015/07/08 16:00,Wanhua,34.0,0.26,5.8,11.0,17.0,23.0,32.0,11.0,0.0,55.0,0.9,99.0,100.0,5.4,4.4
