time,station,AMB_TEMP,CO,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2015/03/19 16:00,Zhongshan,26.0,0.56,14.0,40.0,54.0,21.0,103.0,37.0,0.0,71.0,27.0,111.0,100.0,2.4,2.4
2015/03/19 17:00,Zhongshan,25.0,0.69,14.0,43.0,58.0,8.8,107.0,35.0,0.0,76.0,29.0,117.0,122.0,3.1,2.7
2015/03/19 18:00,Zhongshan,25.0,0.93,25.0,45.0,70.0,4.4,109.0,39.0,0.0,78.0,30.0,116.0,118.0,2.5,2.3
2015/03/19 19:00,Zhongshan,24.0,0.7,21.0,45.0,66.0,3.7,110.0,39.0,0.0,80.0,33.0,119.0,118.0,2.8,2.7
2015/03/19 20:00,Zhongshan,24.0,0.62,15.0,42.0,57.0,6.2,99.0,47.0,0.0,81.0,25.0,120.0,125.0,2.1,2.2
2015/03/19 21:00,Zhongshan,24.0,0.62,8.9,38.0,46.0,8.9,91.0,40.0,0.0,82.0,22.0,122.0,125.0,2.8,2.4
2015/03/19 22:00,Zhongshan,24.0,0.56,3.3,31.0,34.0,17.0,81.0,34.0,0.0,83.0,19.0,130.0,137.0,2.4,2.3
2015/03/19 23:00,Zhongshan,23.0,0.5,3.4,33.0,37.0,18.0,79.0,31.0,0.0,84.0,28.0,128.0,125.0,2.4,2.3
2015/03/20 00:00,Zhongshan,23.0,0.45,1.6,21.0,23.0,32.0,78.0,32.0,0.0,85.0,18.0,128.0,129.0,2.3,2.3
2015/03/20 01:00,Zhongshan,23.0,0.4,1.3,16.0,18.0,35.0,78.0,31.0,0.0,86.0,16.0,127.0,125.0,2.1,2.2
2015/03/20 02:00,Zhongshan,23.0,0.41,1.1,14.0,15.0,39.0,84.0,33.0,0.0,87.0,11.0,120.0,93.0,1.9,2.0
2015/03/20 03:00,Zhongshan,23.0,0.4,1.4,10.0,11.0,42.0,76.0,32.0,0.0,87.0,6.5,117.0,112.0,1.7,1.8
2015/03/20 04:00,Zhongshan,23.0,0.42,1.8,14.0,16.0,37.0,72.0,34.0,0.0,86.0,11.0,112.0,113.0,1.7,1.6
2015/03/20 05:00,Zhongshan,23.0,0.48,1.7,16.0,18.0,36.0,66.0,26.0,0.0,85.0,11.0,115.0,134.0,1.9,1.5
2015/03/20 06:00,Zhongshan,23.0,0.58,2.5,22.0,24.0,32.0,65.0,24.0,0.0,85.0,5.5,121.0,125.0,2.2,2.0
2015/03/20 07:00,Zhongshan,23.0,0.91,7.5,32.0,40.0,24.0,57.0,19.0,0.0,83.0,6.6,115.0,107.0,2.9,2.0
2015/03/20 08:00,Zhongshan,24.0,1.19,14.0,36.0,50.0,24.0,58.0,22.0,0.0,82.0,9.8,117.0,125.0,2.5,2.0
2015/03/20 09:00,Zhongshan,25.0,0.88,12.0,30.0,42.0,26.0,71.0,22.0,0.0,77.0,3.9,109.0,105.0,2.2,2.1
2015/03/20 10:00,Zhongshan,27.0,0.72,12.0,27.0,38.0,28.0,74.0,25.0,0.0,68.0,2.9,97.0,93.0,1.9,1.8
2015/03/20 11:00,Zhongshan,29.0,0.61,7.0,23.0,30.0,38.0,74.0,24.0,0.0,61.0,2.8,120.0,155.0,1.1,1.1
2015/03/20 12:00,Zhongshan,29.0,0.73,7.2,27.0,34.0,48.0,74.0,31.0,0.0,61.0,3.5,298.0,312.0,3.9,2.1
2015/03/20 13:00,Zhongshan,27.0,0.92,10.0,30.0,40.0,42.0,85.0,37.0,0.0,68.0,3.1,293.0,311.0,3.5,1.5
2015/03/20 14:00,Zhongshan,26.0,1.04,14.0,34.0,48.0,35.0,96.0,39.0,0.0,69.0,2.9,292.0,293.0,2.2,1.1
2015/03/20 15:00,Zhongshan,24.0,0.99,13.0,36.0,48.0,27.0,107.0,42.0,0.0,74.0,2.9,269.0,304.0,2.0,1.4
2015/03/20 16:00,Zhongshan,23.0,0.9,7.7,32.0,40.0,25.0,124.0,38.0,0.0,78.0,2.7,260.0,230.0,2.1,1.3
2015/03/20 17:00,Zhongshan,23.0,1.08,10.0,36.0,47.0,20.0,143.0,47.0,0.0,81.0,3.2,246.0,263.0,1.5,1.5
2015/03/20 18:00,Zhongshan,23.0,1.34,11.0,46.0,57.0,10.0,147.0,46.0,0.0,80.0,3.5,255.0,238.0,1.1,0.7
2015/03/20 19:00,Zhongshan,23.0,1.6,19.0,50.0,69.0,4.8,145.0,50.0,0.0,79.0,4.0,263.0,317.0,1.5,1.0
2015/03/20 20:00,Zhongshan,23.0,1.59,27.0,48.0,75.0,2.4,132.0,51.0,0.0,79.0,4.0,307.0,290.0,1.3,0.6
